"blk4Cor1Acc","blk4Cor2Acc","blk4Resolution","blk4Resolution2","blk4Resolution2Adv1","blk4Resolution2Adv2","blk4AverageCj1","adv1Agreed","adv2Agreed","agreedDiff","res2Diff","blk4MeanAdvisor1Sway","blk4MeanAdvisor2Sway","swayDiff","blk4AdviceSway","blk4AdviceSway1Diff","blk4AdviceSway2Diff",
0.78333,0.76667,2.4043,8.3322,10.7273,6.28,5.8833,0.56667,0.66667,0.1,-4.4473,7.2667,3.9333,-3.3333,5.7667,0.033333,0.16667,
0.61667,0.73333,0.42538,1.9354,1.6507,5.5,21.4333,0.53333,0.5,-0.033333,3.8493,13.9,13.2667,-0.63333,22.2833,-0.13333,1.4333,
0.7,0.71667,5.2619,14.0238,11.75,16.5795,13.85,0.63333,0.56667,-0.066667,4.8295,17.3333,16.4667,-0.86667,19.5,-0.76667,1.0667,
0.7,0.71667,0.69048,1.0635,1.8517,0.54037,26.5167,0.66667,0.53333,-0.13333,-1.3113,2.9333,0.63333,-2.3,9.15,-0.066667,0,
0.78333,0.8,1.3061,1.9836,2.4615,3.3968,12.1,0.56667,0.53333,-0.033333,0.93529,2.6333,2.9,0.26667,4.7,-0.2,-0.93333,
0.63333,0.66667,0.13158,6.8876,4.3158,9.4593,19.9167,0.6,0.6,0,5.1435,9.4,9.6,0.2,13.3,-0.66667,0.5,
0.66667,0.68333,1.325,0.15,1.6944,2.9205,17.0333,0.56667,0.7,0.13333,1.226,3.5,2.6333,-0.86667,4.2,-0.43333,-0.1,
0.8,0.73333,12.9375,6.625,1.6364,16.5192,21.5167,0.63333,0.56667,-0.066667,14.8829,5.8667,1.6667,-4.2,8.0333,-1.5333,0,
0.63333,0.73333,1.1722,7.445,8.2443,7.8413,19.8333,0.53333,0.46667,-0.066667,-0.40307,8.2667,3.8,-4.4667,8.1333,-1.3667,0.1,
0.63333,0.68333,1.1316,0.30622,2.276,1.2222,19.7833,0.6,0.66667,0.066667,-1.0538,6.6333,3.2,-3.4333,16.55,1.3667,-0.066667,
